row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,mean_change_difference,fold_change,log2_fold_change
3086,265.147888846183,15.107723,0.7750513736700824,49,19,1,1,0.0888888888888888,-1.6346690342248474e-4,-1.7889028110952977e-4,-1.5423377687045028e-5,NA,NA
6404,279.111141482876,16.72932,0.7750513736700824,41,19,1,1,-0.0888888888888889,-2.27730962804838e-6,-1.6029255925231231e-6,6.743840355252568e-7,NA,NA
3285,311.168638632405,15.357674,0.7750513736700824,41,19,1,1,-0.0888888888888889,-0.00029775557326014804,3.4454398994861885e-4,6.422995632087669e-4,NA,NA
2241,315.181259888398,12.4960375,0.7750513736700824,49,19,1,1,0.0888888888888888,-5.65870869203601e-6,-5.161401558760777e-5,-4.595530689557176e-5,NA,NA
2119,329.233378851208,11.45605,0.7750513736700824,49,19,1,1,0.0888888888888888,-8.496305043165697e-5,-1.2275262554028e-4,-3.778957510862304e-5,NA,NA
2229,329.233430108708,12.418282,0.7750513736700824,49,19,1,1,0.0888888888888888,-3.2467266236457996e-5,-7.768743441562442e-5,-4.5220168179166425e-5,NA,NA
3153,387.156212641677,15.205737,0.7750513736700824,49,19,1,1,0.0888888888888888,-6.036102211275398e-5,-1.209758296151589e-4,-6.061480750240493e-5,NA,NA
2238,387.28662962475,12.492692,0.7750513736700824,49,19,1,1,0.0888888888888888,-2.1326264238108006e-5,-7.500287502054083e-5,-5.367661078243283e-5,NA,NA
2168,431.228619664955,11.878182,0.7750513736700824,49,19,1,1,0.0888888888888888,-2.7511847677698994e-5,-8.842271344831223e-5,-6.091086577061324e-5,NA,NA
7093,455.102084473638,16.995525,0.7750513736700824,49,19,1,1,0.0888888888888888,5.111723559554807e-7,-9.030696532923078e-6,-9.541868888878559e-6,NA,NA
7156,466.816751011376,17.040564,0.7750513736700824,41,19,1,1,-0.0888888888888889,-2.895886645450393e-5,-2.1982022424988482e-5,6.976844029515447e-6,NA,NA
2392,601.323035535576,13.269417,0.7750513736700824,49,19,1,1,0.0888888888888888,-2.4474988872314993e-5,-4.1642660029708885e-5,-1.7167671157393893e-5,NA,NA
3137,83.0236231689375,15.1884165,0.8382564863858263,42,19,1,1,-0.06666666666666665,2.4228224984570402e-4,-6.863302200915563e-6,-2.4914555204661956e-4,NA,NA
3617,90.0083347026305,15.663375,0.8382564863858263,48,19,1,1,0.06666666666666665,-7.478130443114798e-5,-1.710132521735978e-4,-9.623194774244983e-5,NA,NA
5890,92.0239967305958,16.47494,0.8382564863858263,42,19,1,1,-0.06666666666666665,2.7517837572879e-4,3.2664547319885784e-4,5.146709747006785e-5,NA,NA
4374,93.0080111058288,15.911882,0.8382564863858263,48,19,1,1,0.06666666666666665,1.105139774697614e-5,-2.2312503170410552e-5,-3.336390091738669e-5,NA,NA
3169,106.039692661568,15.422513,0.8382564863858263,42,19,1,1,-0.06666666666666665,-4.7838164583664697e-4,0.0013686584517832653,0.0018470400976199123,NA,NA
3549,107.034983043922,15.499021,0.8382564863858263,42,19,1,1,-0.06666666666666665,-4.11438683656343e-4,-8.041939412327412e-4,-3.927552575763982e-4,NA,NA
2938,116.919923163272,14.917061,0.8382564863858263,42,19,1,1,-0.06666666666666665,-1.12126163265968e-4,1.450638293579167e-4,2.571899926238847e-4,NA,NA
